"",".cell_cycle",".gender","activated","cluster","group","time"
"notact_004","G1",NA,"notact","C1","notact","0h"
"notact_007","G1",NA,"notact","C1","notact","0h"
"notact_008","G1","F","notact","C1","notact","0h"
"notact_009","G1",NA,"notact","C1","notact","0h"
"notact_010","G1",NA,"notact","C1","notact","0h"
"notact_011","G1",NA,"notact","C1","notact","0h"
"notact_014","G1",NA,"notact","C1","notact","0h"
"act12h_018","G1","M","act","C3","act12h","12h"
"act12h_019","G1",NA,"act","C3","act12h","12h"
"act12h_020","G1","M","act","C3","act12h","12h"
"act24h_023","G2M","M","act","C3","act24h","24h"
"act48h_026","G2M","M","act","C2","act48h","48h"
"act48h_027","G2M","M","act","C2","act48h","48h"
"act72h_028","G2M","M","act","C2","act72h","72h"
"act72h_029","G2M","M","act","C2","act72h","72h"
"act72h_030","G2M","M","act","C2","act72h","72h"
"act96h_032","G2M",NA,"act","C2","act96h","96h"
"act96h_034","G2M",NA,"act","C2","act96h","96h"
